2025-07-01 09:59:45 install pkg-config:arm64 <none> 1.8.1-1
2025-07-01 09:59:45 status half-installed pkg-config:arm64 1.8.1-1
2025-07-01 09:59:45 status unpacked pkg-config:arm64 1.8.1-1
2025-07-01 09:59:45 install libfontconfig-dev:arm64 <none> 2.14.1-4
2025-07-01 09:59:45 status half-installed libfontconfig-dev:arm64 2.14.1-4
2025-07-01 09:59:46 status unpacked libfontconfig-dev:arm64 2.14.1-4
2025-07-01 09:59:46 install libfontconfig1-dev:arm64 <none> 2.14.1-4
2025-07-01 09:59:46 status half-installed libfontconfig1-dev:arm64 2.14.1-4
2025-07-01 09:59:46 status unpacked libfontconfig1-dev:arm64 2.14.1-4
2025-07-01 09:59:46 install libgdbm-dev:arm64 <none> 1.23-3
2025-07-01 09:59:46 status half-installed libgdbm-dev:arm64 1.23-3
2025-07-01 09:59:46 status unpacked libgdbm-dev:arm64 1.23-3
2025-07-01 09:59:46 install liblzma-dev:arm64 <none> 5.4.1-1
2025-07-01 09:59:46 status half-installed liblzma-dev:arm64 5.4.1-1
2025-07-01 09:59:46 status unpacked liblzma-dev:arm64 5.4.1-1
2025-07-01 09:59:46 install libncurses6:arm64 <none> 6.4-4
2025-07-01 09:59:46 status half-installed libncurses6:arm64 6.4-4
2025-07-01 09:59:46 status unpacked libncurses6:arm64 6.4-4
2025-07-01 09:59:46 install libncurses-dev:arm64 <none> 6.4-4
2025-07-01 09:59:46 status half-installed libncurses-dev:arm64 6.4-4
2025-07-01 09:59:46 status unpacked libncurses-dev:arm64 6.4-4
2025-07-01 09:59:46 install libncursesw5-dev:arm64 <none> 6.4-4
2025-07-01 09:59:46 status half-installed libncursesw5-dev:arm64 6.4-4
2025-07-01 09:59:46 status unpacked libncursesw5-dev:arm64 6.4-4
2025-07-01 09:59:46 install libpthread-stubs0-dev:arm64 <none> 0.4-1
2025-07-01 09:59:46 status half-installed libpthread-stubs0-dev:arm64 0.4-1
2025-07-01 09:59:46 status unpacked libpthread-stubs0-dev:arm64 0.4-1
2025-07-01 09:59:46 install libreadline-dev:arm64 <none> 8.2-1.3
2025-07-01 09:59:46 status half-installed libreadline-dev:arm64 8.2-1.3
